Ano;Premiacao;Filme;
2008;Oscar;Slumdog Millionaire;
2009;Oscar;The Hurt Locker;
2010;Oscar;The King's Speech;
2011;Oscar;The Artist;
2012;Oscar;Argo;
2013;Oscar;12 Years a Slave;
2014;Oscar;Birdman;
2015;Oscar;Spotlight;
2016;Oscar;Moonlight;
2017;Oscar;The Shape of Water;
2018;Oscar;Green Book;
2019;Oscar;Gisaengchung;
2020;Oscar;Nomadland;
2021;Oscar;CODA;
2022;Oscar;Everything Everywhere All at Once;
2023;Oscar;Oppenheimer;
