Premiação;Qui-Quadrado;P-Valor
BAFTA;3.4868;0.0619
DGA;24.007;0.0
GlobodeOuro;0.6457;0.4216
Gotham;0.2613;0.6092
NationalBoard;0.312;0.5764
PGA;30.3179;0.0
SAG;13.5921;0.0002
Satellite;0.5568;0.4556
