Filme;Previsao;Chance_Vitoria_%;Modelo
Crash;0;40.0;ARVORE_DECISAO
Da 5 Bloods;0;0.0;ARVORE_DECISAO
Dreamgirls;0;0.0;ARVORE_DECISAO
Everything Everywhere All at Once;1;100.0;ARVORE_DECISAO
Finding Neverland;0;0.0;ARVORE_DECISAO
Ford vs. Ferrari;0;0.0;ARVORE_DECISAO
Fox Searchlight Pictures;0;0.0;ARVORE_DECISAO
Frozen River;0;0.0;ARVORE_DECISAO
Gisaengchung;0;40.0;ARVORE_DECISAO
God's Own Country;0;0.0;ARVORE_DECISAO
Good Night;0;0.0;ARVORE_DECISAO
Gravity;0;50.0;ARVORE_DECISAO
Green Book;1;100.0;ARVORE_DECISAO
Half Nelson;0;0.0;ARVORE_DECISAO
Happy-Go-Lucky;0;0.0;ARVORE_DECISAO
Her;0;0.0;ARVORE_DECISAO
Hidden Figures;0;40.0;ARVORE_DECISAO
Hotel Ruanda;0;0.0;ARVORE_DECISAO
Hugo;0;0.0;ARVORE_DECISAO
If Beale Street Could Talk;0;0.0;ARVORE_DECISAO
Inglourious Basterds;0;40.0;ARVORE_DECISAO
Inside Llewyn Davis;0;0.0;ARVORE_DECISAO
Into the Wild;0;0.0;ARVORE_DECISAO
Juno;0;0.0;ARVORE_DECISAO
Killers of the Flower Moon;0;0.0;ARVORE_DECISAO
La La Land;0;0.0;ARVORE_DECISAO
Letters from Iwo Jima;0;0.0;ARVORE_DECISAO
Licorice Pizza;0;0.0;ARVORE_DECISAO
Little Miss Sunshine;1;100.0;ARVORE_DECISAO
Mad Max: Fury Road;0;0.0;ARVORE_DECISAO
Manchester by the Sea;0;0.0;ARVORE_DECISAO
Marriage Story;0;0.0;ARVORE_DECISAO
Million Dollar Baby;0;50.0;ARVORE_DECISAO
Moonlight;1;100.0;ARVORE_DECISAO
Moonrise Kingdom;0;0.0;ARVORE_DECISAO
Nine;0;0.0;ARVORE_DECISAO
No Country for Old Men;1;100.0;ARVORE_DECISAO
Nomadland;1;100.0;ARVORE_DECISAO
Once Upon a Time in Hollywood;0;0.0;ARVORE_DECISAO
Oppenheimer;1;100.0;ARVORE_DECISAO
Past Lives;0;0.0;ARVORE_DECISAO
Roma;0;0.0;ARVORE_DECISAO
Scott Pilgrim vs. the World;0;0.0;ARVORE_DECISAO
Sideways;0;50.0;ARVORE_DECISAO
Silver Linings;0;0.0;ARVORE_DECISAO
Slumdog Millionaire;1;100.0;ARVORE_DECISAO
Spotlight;0;50.0;ARVORE_DECISAO
The Artist;1;100.0;ARVORE_DECISAO
The Aviator;0;0.0;ARVORE_DECISAO
The Big Short;1;100.0;ARVORE_DECISAO
The Departed;1;100.0;ARVORE_DECISAO
The Descendants;0;0.0;ARVORE_DECISAO
The Fabelmans;0;0.0;ARVORE_DECISAO
The Forty-Year-Old Version;0;0.0;ARVORE_DECISAO
The Help;0;40.0;ARVORE_DECISAO
The Holdovers;0;0.0;ARVORE_DECISAO
