;Correlacao_com_Oscar
PGA;0.596032931351327
DGA;0.5338097132432212
SAG;0.4093632770270102
BAFTA;0.22269362270269352
GlobodeOuro;0.11415291512216433
Satellite;0.10339042453732587
Gotham;0.08301158301158303
NationalBoard;-0.0884224678378342
